OrderID,OrderDate,CustomerID,Region,ProductCategory,ProductName,Channel,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Returned,UnitCost,ListPrice,GrossMarginPct,Supplier,Segment,AcquisitionChannel,SignupYear,LoyaltyTier,ReturnReason,RefundAmount,RestockedFlag,COGS,GrossProfit,NetContribution
ORD50251,2025-11-20,C1148,South,Footwear,Canvas Sneakers,Online,113.00,1,0,4.77,113.00,false,93.6,111.96,0.164,Northwind,Returning,Paid Social,2024,Silver,,0,,93.60,19.40,19.40
ORD50443,2025-10-04,C1126,East,Accessories,Leather Belt,Mobile App,65.14,1,0,10.47,52.11,false,26.41,52.82,0.5,Umbra,New,Paid Social,2024,Silver,,0,,26.41,25.70,25.70
ORD50194,2025-11-06,C1068,East,Beauty,Face Serum,Online,59.12,1,0.4,5.22,35.47,true,17.07,37.93,0.55,Northwind,New,Email,2025,Bronze,Damaged in transit,32.64,Y,17.07,18.40,-14.24
ORD50767,2025-10-12,C1032,West,Home,Ceramic Mug,In-Store,43.92,1,0.1,0.00,39.53,false,27.46,47.34,0.42,Meridian,New,Paid Social,2024,Silver,,0,,27.46,12.07,12.07
ORD50240,2025-02-26,C1154,West,Home,Table Lamp,Online,24.79,1,0.15,4.30,21.07,false,26.19,45.15,0.42,Acme,New,Paid Social,2024,Gold,,0,,26.19,-5.12,-5.12
ORD50135,2025-02-24,C1035,South,Accessories,Sunglasses,In-Store,55.29,2,0,0.00,110.58,false,26.16,52.33,0.5,Northwind,New,Paid Social,2024,Silver,,0,,52.32,58.26,58.26
ORD50769,2025-04-09,C1004,South,Accessories,Sunglasses,Mobile App,35.56,1,0.15,7.31,30.23,true,26.16,52.33,0.5,Northwind,New,Email,2024,Bronze,Wrong size / poor fit,26.85,N,26.16,4.07,-22.78
ORD50280,2025-12-08,C1169,West,Beauty,Hand Cream,In-Store,68.85,4,0,0.00,275.40,false,17.77,39.49,0.55,Northwind,VIP,Referral,2024,Gold,,0,,71.08,204.32,204.32
ORD50304,2025-06-15,C1069,East,Beauty,Bath Set,Mobile App,50.69,1,0.2,8.83,40.55,false,19.67,43.71,0.55,Umbra,Returning,Email,2024,Bronze,,0,,19.67,20.88,20.88
ORD50173,2025-03-26,C1066,South,Accessories,Baseball Cap,In-Store,50.71,1,0,0.00,50.71,false,26.45,52.9,0.5,Meridian,Returning,Email,2025,Bronze,,0,,26.45,24.26,24.26
ORD50623,2025-08-29,C1112,Midwest,Beauty,Bath Set,Online,61.06,3,0.05,0.00,174.02,false,19.67,43.71,0.55,Umbra,New,Referral,2023,Bronze,,0,,59.01,115.01,115.01
ORD50021,2025-12-30,C1080,West,Footwear,Sandals,Online,136.27,1,0.1,7.96,122.64,false,103.25,123.51,0.164,Acme,Returning,Email,2024,Silver,,0,,103.25,19.39,19.39
ORD50046,2025-04-18,C1007,West,Footwear,Canvas Sneakers,In-Store,103.72,1,0,0.00,103.72,true,93.6,111.96,0.164,Northwind,Returning,Organic,2024,Bronze,Defective,99.09,N,93.60,10.12,-88.97
ORD50042,2025-11-22,C1163,South,Accessories,Tote Bag,In-Store,59.31,2,0,0.00,118.62,false,25.12,50.23,0.5,Globex,New,Paid Social,2025,Bronze,,0,,50.24,68.38,68.38
ORD50774,2025-02-13,C1137,South,Accessories,Wool Scarf,In-Store,82.38,1,0,0.00,74.14,false,29.0,57.99,0.5,Northwind,Returning,Email,2024,Gold,,0,,29.00,45.14,45.14
ORD50876,2025-12-16,C1076,Midwest,Footwear,Canvas Sneakers,Mobile App,89.88,2,0,8.17,179.76,false,93.6,111.96,0.164,Northwind,New,Paid Social,2023,Silver,,0,,187.20,-7.44,-7.44
ORD50874,2025-08-28,C1064,South,Apparel,Summer Dress,In-Store,33.69,3,0.3,0.00,70.75,false,40.56,71.29,0.431,Globex,Returning,Email,2024,Silver,,0,,121.68,-50.93,-50.93
ORD50912,2025-08-21,C1092,West,Beauty,Lip Balm,Online,61.44,1,0.05,11.69,58.37,false,16.19,35.98,0.55,Globex,Returning,Referral,2025,Bronze,,0,,16.19,42.18,42.18
ORD50759,2025-11-02,C1091,West,Home,Table Lamp,Online,63.72,1,0.05,9.85,60.53,false,26.19,45.15,0.42,Acme,Returning,Paid Social,2023,Silver,,0,,26.19,34.34,34.34
ORD50602,2025-01-02,C1099,Midwest,Apparel,Denim Jacket,Online,109.72,2,0.1,8.37,197.50,false,45.49,79.95,0.431,Meridian,VIP,Email,2023,Silver,,0,,90.98,106.52,106.52
ORD50763,2025-02-05,C1083,West,Beauty,Bath Set,Mobile App,63.57,2,0,3.67,127.14,false,19.67,43.71,0.55,Umbra,New,Paid Social,2025,Gold,,0,,39.34,87.80,87.80
ORD50646,2025-09-29,C1000,Midwest,Beauty,Bath Set,In-Store,42.91,2,0.1,0.00,77.24,false,19.67,43.71,0.55,Umbra,Returning,Paid Social,2025,Gold,,0,,39.34,37.90,37.90
ORD50019,2025-01-21,C1012,West,Beauty,Perfume,Online,25.43,1,0,9.81,25.43,false,15.84,35.21,0.55,Acme,Returning,Organic,2025,Bronze,,0,,15.84,9.59,9.59
ORD50801,2025-07-31,C1111,West,Apparel,Wool Sweater,In-Store,72.97,2,0.15,0.00,124.05,false,35.65,62.66,0.431,Acme,New,Paid Social,2023,Silver,,0,,71.30,52.75,52.75
ORD50342,2025-05-23,C1173,East,Accessories,Tote Bag,Online,30.50,2,0,5.16,61.00,false,25.12,50.23,0.5,Globex,VIP,Email,2023,Silver,,0,,50.24,10.76,10.76
ORD50454,2025-12-28,C1158,West,Footwear,Loafers,Online,51.30,3,0,6.39,153.90,false,84.63,101.23,0.164,Meridian,Returning,Paid Social,2023,Silver,,0,,253.89,-99.99,-99.99
ORD50031,2025-09-21,C1091,West,Accessories,Baseball Cap,Mobile App,56.48,3,0.4,9.74,101.66,true,26.45,52.9,0.5,Meridian,Returning,Paid Social,2023,Silver,Defective,95.9,Y,79.35,22.31,-73.59
ORD50515,2025-01-28,C1007,West,Accessories,Leather Belt,Online,55.22,2,0.2,7.40,88.35,false,26.41,52.82,0.5,Umbra,Returning,Organic,2024,Bronze,,0,,52.82,35.53,35.53
ORD50580,2025-08-22,C1029,East,Apparel,Chino Pants,In-Store,98.53,2,0.15,0.00,167.50,false,45.05,79.17,0.431,Meridian,Returning,Organic,2024,Bronze,,0,,90.10,77.40,77.40
ORD50835,2025-02-26,C1068,East,Footwear,Canvas Sneakers,Mobile App,80.84,2,0,7.15,161.68,false,93.6,111.96,0.164,Northwind,New,Email,2025,Bronze,,0,,187.20,-25.52,-25.52
ORD50916,2025-04-26,C1007,West,Accessories,Wool Scarf,In-Store,63.17,1,0,0.00,63.17,false,29.0,57.99,0.5,Northwind,Returning,Organic,2024,Bronze,,0,,29.00,34.17,34.17
ORD50502,2025-10-12,C1105,East,Apparel,Chino Pants,Online,51.98,2,0.05,8.52,98.76,false,45.05,79.17,0.431,Meridian,Returning,Organic,2023,Gold,,0,,90.10,8.66,8.66
ORD50121,2025-05-17,C1078,West,Accessories,Baseball Cap,Mobile App,55.24,1,0.2,8.55,44.19,true,26.45,52.9,0.5,Meridian,Returning,Organic,2025,Bronze,Wrong size / poor fit,38.62,Y,26.45,17.74,-20.88
ORD50211,2025-08-08,C1090,West,Beauty,Bath Set,Online,63.96,2,0.1,6.36,115.13,false,19.67,43.71,0.55,Umbra,New,Paid Social,2024,Bronze,,0,,39.34,75.79,75.79
ORD50865,2025-11-12,C1033,Midwest,Footwear,Leather Boots,Online,156.05,1,0.25,4.17,117.04,false,94.79,113.39,0.164,Meridian,New,Organic,2023,Bronze,,0,,94.79,22.25,22.25
ORD50671,2025-03-03,C1068,East,Home,Throw Pillow,Mobile App,65.57,2,0.15,5.06,111.47,true,26.26,45.27,0.42,Acme,New,Email,2025,Bronze,Wrong size / poor fit,95.35,Y,52.52,58.95,-36.40
ORD50783,2025-04-30,C1142,East,Footwear,Sandals,Online,204.58,2,0.1,4.11,368.24,true,103.25,123.51,0.164,Acme,VIP,Email,2023,Silver,Not as described,365.19,N,206.50,161.74,-203.45
ORD50915,2025-05-17,C1171,West,Footwear,Leather Boots,Mobile App,121.78,1,0,4.86,121.78,false,94.79,113.39,0.164,Meridian,Returning,Referral,2023,Silver,,0,,94.79,26.99,26.99
ORD50332,2025-06-28,C1137,South,Home,Table Lamp,Mobile App,60.21,1,0,5.49,60.21,false,26.19,45.15,0.42,Acme,Returning,Email,2024,Gold,,0,,26.19,34.02,34.02
ORD50401,2025-07-03,C1141,East,Accessories,Tote Bag,In-Store,77.79,1,0,0.00,77.79,false,25.12,50.23,0.5,Globex,Returning,Referral,2024,Bronze,,0,,25.12,52.67,52.67
ORD50115,2025-02-07,C1079,South,Home,Table Lamp,Online,75.02,3,0,8.33,225.06,false,26.19,45.15,0.42,Acme,Returning,Paid Social,2025,Silver,,0,,78.57,146.49,146.49
ORD50116,2025-12-07,C1069,East,Home,Table Lamp,Online,49.70,2,0.05,9.65,94.43,false,26.19,45.15,0.42,Acme,Returning,Email,2024,Bronze,,0,,52.38,42.05,42.05
ORD50060,2025-10-02,C1121,West,Home,Wall Art,Mobile App,63.57,2,0,3.61,120.78,false,28.69,49.47,0.42,Globex,Returning,Email,2023,Bronze,,0,,57.38,63.40,63.40
ORD50029,2025-03-11,C1025,West,Apparel,Wool Sweater,In-Store,51.41,1,0.4,0.00,30.85,false,35.65,62.66,0.431,Acme,New,Organic,2025,Bronze,,0,,35.65,-4.80,-4.80
ORD50326,2025-02-06,C1060,Midwest,Footwear,Leather Boots,In-Store,120.34,3,0.1,0.00,324.92,true,94.79,113.39,0.164,Meridian,Returning,Referral,2024,Silver,,0,,284.37,40.55,40.55
ORD50036,2025-01-18,C1171,West,Home,Table Lamp,Mobile App,14.01,3,0,10.75,37.83,false,26.19,45.15,0.42,Acme,Returning,Referral,2023,Silver,,0,,78.57,-40.74,-40.74
ORD50450,2025-12-28,C1120,South,Footwear,Running Shoes,In-Store,84.18,2,0,0.00,168.36,true,94.62,113.18,0.164,Meridian,Returning,Email,2023,Bronze,Wrong size / poor fit,159.89,Y,189.24,-20.88,-180.77
ORD50587,2025-12-24,C1108,East,Apparel,Wool Sweater,Online,40.31,1,0,8.80,34.26,false,35.65,62.66,0.431,Acme,New,Paid Social,2023,Bronze,,0,,35.65,-1.39,-1.39
ORD50106,2025-08-15,C1046,West,Footwear,Leather Boots,In-Store,155.73,2,0.05,0.00,295.89,false,94.79,113.39,0.164,Meridian,New,Organic,2024,Bronze,,0,,189.58,106.31,106.31
ORD50806,2025-01-10,C1174,East,Home,Cotton Throw,Online,45.31,2,0.1,3.63,81.56,false,27.21,46.91,0.42,Acme,New,Organic,2024,Bronze,,0,,54.42,27.14,27.14
ORD50302,2025-03-22,C1135,East,Footwear,Sandals,Online,111.97,2,0,4.38,223.94,true,103.25,123.51,0.164,Acme,New,Paid Social,2024,Bronze,Changed mind,205.85,Y,206.50,17.44,-188.41
ORD50648,2025-11-14,C1054,Midwest,Footwear,Leather Boots,Mobile App,60.90,3,0.05,11.43,173.56,true,94.79,113.39,0.164,Meridian,Returning,Referral,2025,Bronze,Wrong size / poor fit,162.62,N,284.37,-110.81,-273.43
ORD50895,2025-03-26,C1162,Midwest,Apparel,Classic Tee,Online,33.28,1,0,0.00,33.28,false,40.01,70.32,0.431,Acme,New,Paid Social,2025,Bronze,,0,,40.01,-6.73,-6.73
ORD50045,2025-04-27,C1018,West,Home,Ceramic Mug,Online,46.87,3,0,4.38,140.61,false,27.46,47.34,0.42,Meridian,Returning,Referral,2023,Gold,,0,,82.38,58.23,58.23
ORD50084,2025-02-24,C1129,West,Accessories,Baseball Cap,In-Store,46.45,3,0.05,0.00,132.38,false,26.45,52.9,0.5,Meridian,Returning,Organic,2024,Bronze,,0,,79.35,53.03,53.03
ORD50800,2025-01-20,C1092,West,Footwear,Loafers,Online,116.71,2,0.15,6.77,198.41,false,84.63,101.23,0.164,Meridian,Returning,Referral,2025,Bronze,,0,,169.26,29.15,29.15
ORD50754,2025-08-21,C1173,East,Apparel,Wool Sweater,In-Store,54.63,4,0.05,0.00,207.59,false,35.65,62.66,0.431,Acme,VIP,Email,2023,Silver,,0,,142.60,64.99,64.99
ORD50616,2025-08-11,C1169,West,Accessories,Baseball Cap,Online,120.16,3,0.1,9.67,324.43,false,26.45,52.9,0.5,Meridian,VIP,Referral,2024,Gold,,0,,79.35,245.08,245.08
ORD50781,2025-11-07,C1044,West,Footwear,Running Shoes,In-Store,41.75,1,0.1,0.00,37.58,false,94.62,113.18,0.164,Meridian,Returning,Organic,2025,Bronze,,0,,94.62,-57.04,-57.04
ORD50004,2025-12-14,C1086,West,Home,Table Lamp,Mobile App,12.84,1,0.1,6.07,11.56,false,26.19,45.15,0.42,Acme,Returning,Organic,2024,Bronze,,0,,26.19,-14.63,-14.63
ORD50914,2025-09-02,C1125,East,Accessories,Tote Bag,Online,65.49,2,0,6.97,130.98,false,25.12,50.23,0.5,Globex,Returning,Email,2024,Bronze,,0,,50.24,80.74,80.74
ORD50499,2025-10-24,C1096,East,Beauty,Bath Set,In-Store,52.13,2,0.2,0.00,83.41,false,19.67,43.71,0.55,Umbra,New,Paid Social,2024,Bronze,,0,,39.34,44.07,44.07
ORD50362,2025-02-02,C1018,West,Footwear,Leather Boots,Online,46.02,2,0.15,7.56,78.23,true,94.79,113.39,0.164,Meridian,Returning,Referral,2023,Gold,Wrong size / poor fit,71.62,N,189.58,-111.35,-182.97
ORD50900,2025-01-14,C1020,South,Beauty,Bath Set,Online,14.16,1,0.4,3.74,8.50,false,19.67,43.71,0.55,Umbra,Returning,Email,2024,Bronze,,0,,19.67,-11.17,-11.17
ORD50369,2025-01-23,C1145,South,Accessories,Tote Bag,Online,61.25,1,0.15,4.23,52.06,false,25.12,50.23,0.5,Globex,New,Paid Social,2023,Bronze,,0,,25.12,26.94,26.94
ORD50824,2025-04-16,C1052,Midwest,Apparel,Denim Jacket,Online,79.76,2,0.1,4.97,143.57,false,45.49,79.95,0.431,Meridian,Returning,Email,2025,Bronze,,0,,90.98,52.59,52.59
ORD50235,2025-02-04,C1153,Midwest,Footwear,Leather Boots,Online,115.20,2,0.05,6.78,218.88,false,94.79,113.39,0.164,Meridian,Returning,Email,2025,Bronze,,0,,189.58,29.30,29.30
ORD50627,2025-04-10,C1042,South,Home,Wall Art,In-Store,24.97,1,0.3,0.00,17.48,false,28.69,49.47,0.42,Globex,Returning,Organic,2025,Silver,,0,,28.69,-11.21,-11.21
ORD50397,2025-01-18,C1053,South,Apparel,Chino Pants,Online,81.26,3,0.2,11.03,195.02,false,45.05,79.17,0.431,Meridian,Returning,Organic,2023,Bronze,,0,,135.15,59.87,59.87
ORD50688,2025-06-24,C1176,South,Footwear,Leather Boots,Mobile App,71.29,2,0.05,5.71,135.45,true,94.79,113.39,0.164,Meridian,Returning,Email,2023,Bronze,Changed mind,128.81,N,189.58,-54.13,-182.94
ORD50487,2025-06-23,C1082,East,Apparel,Summer Dress,Online,43.60,2,0,8.01,87.20,false,40.56,71.29,0.431,Globex,Returning,Paid Social,2023,Bronze,,0,,81.12,6.08,6.08
ORD50146,2025-06-24,C1127,South,Home,Table Lamp,In-Store,16.76,1,0.15,0.00,14.25,false,26.19,45.15,0.42,Acme,New,Paid Social,2024,Silver,,0,,26.19,-11.94,-11.94
ORD50772,2025-01-13,C1064,South,Beauty,Lip Balm,Online,14.32,3,0.2,10.94,34.37,false,16.19,35.98,0.55,Globex,Returning,Email,2024,Silver,,0,,48.57,-14.20,-14.20
ORD50220,2025-08-09,C1047,East,Apparel,Summer Dress,Online,47.82,1,0,5.14,47.82,false,40.56,71.29,0.431,Globex,New,Paid Social,2023,Bronze,,0,,40.56,7.26,7.26
ORD50640,2025-11-19,C1090,West,Home,Ceramic Mug,Mobile App,28.13,2,0.15,3.70,47.82,false,27.46,47.34,0.42,Meridian,New,Paid Social,2024,Bronze,,0,,54.92,-7.10,-7.10
ORD50832,2025-08-06,C1018,West,Accessories,Sunglasses,In-Store,33.83,2,0.2,0.00,54.13,true,26.16,52.33,0.5,Northwind,Returning,Referral,2023,Gold,Wrong size / poor fit,52.03,N,52.32,1.81,-50.22
ORD50892,2025-09-25,C1121,West,Home,Cotton Throw,In-Store,51.69,1,0,0.00,51.69,false,27.21,46.91,0.42,Acme,Returning,Email,2023,Bronze,,0,,27.21,24.48,24.48
ORD50529,2025-01-13,C1036,West,Apparel,Classic Tee,Online,66.29,2,0,8.80,132.58,false,40.01,70.32,0.431,Acme,New,Organic,2024,Silver,,0,,80.02,52.56,52.56
ORD50150,2025-08-23,C1149,West,Home,Cotton Throw,Online,43.34,2,0.05,6.96,82.35,false,27.21,46.91,0.42,Acme,New,Paid Social,2023,Bronze,,0,,54.42,27.93,27.93
ORD50309,2025-10-31,C1146,Midwest,Home,Throw Pillow,In-Store,42.68,1,0.2,0.00,34.14,false,26.26,45.27,0.42,Acme,New,Email,2023,Bronze,,0,,26.26,7.88,7.88
ORD50620,2025-10-08,C1078,West,Footwear,Canvas Sneakers,Online,143.96,3,0,10.09,431.88,false,93.6,111.96,0.164,Northwind,Returning,Organic,2025,Bronze,,0,,280.80,151.08,151.08
ORD50391,2025-11-02,C1039,East,Home,Wall Art,In-Store,26.19,2,0.15,0.00,44.52,false,28.69,49.47,0.42,Globex,Returning,Organic,2024,Silver,,0,,57.38,-12.86,-12.86
ORD50398,2025-02-26,C1080,West,Footwear,,Mobile App,105.93,2,0,10.84,211.86,false,,,,,Returning,Email,2024,Silver,,0,,,,
ORD50788,2025-02-21,C1159,Midwest,Accessories,Leather Belt,Online,31.70,3,0.3,8.24,66.57,false,26.41,52.82,0.5,Umbra,Returning,Organic,2025,Silver,,0,,79.23,-12.66,-12.66
ORD50162,2025-08-19,C1071,Midwest,Apparel,Classic Tee,In-Store,85.73,1,0,0.00,85.73,false,40.01,70.32,0.431,Acme,New,Paid Social,2023,Bronze,,0,,40.01,45.72,45.72
ORD50128,2025-07-10,C1162,Midwest,Apparel,Denim Jacket,Online,104.56,2,0,4.82,209.12,false,45.49,79.95,0.431,Meridian,New,Paid Social,2025,Bronze,,0,,90.98,118.14,118.14
ORD50049,2025-06-28,C1095,East,Footwear,Leather Boots,In-Store,73.95,3,0,0.00,221.85,false,94.79,113.39,0.164,Meridian,Returning,Email,2023,Gold,,0,,284.37,-62.52,-62.52
ORD50105,2025-01-03,C1101,West,Accessories,Sunglasses,Online,68.29,3,0,7.63,204.87,false,26.16,52.33,0.5,Northwind,Returning,Email,2024,Bronze,,0,,78.48,126.39,126.39
ORD50846,2025-10-21,C1028,West,Footwear,Leather Boots,Online,147.17,2,0.2,0.00,235.47,false,94.79,113.39,0.164,Meridian,New,Paid Social,2025,Bronze,,0,,189.58,45.89,45.89
ORD50313,2025-01-03,C1082,East,Footwear,Sandals,Online,84.48,2,0,6.99,160.51,true,103.25,123.51,0.164,Acme,Returning,Paid Social,2023,Bronze,Late delivery,152.61,Y,206.50,-45.99,-198.60
ORD50437,2025-04-14,C1079,South,Apparel,Chino Pants,In-Store,101.41,1,0,0.00,101.41,false,45.05,79.17,0.431,Meridian,Returning,Paid Social,2025,Silver,,0,,45.05,56.36,56.36
ORD50856,2025-11-29,C1124,Midwest,Home,Cotton Throw,Online,25.30,1,0.1,9.10,22.77,false,27.21,46.91,0.42,Acme,New,Organic,2025,Bronze,,0,,27.21,-4.44,-4.44
ORD50471,2025-06-26,C1076,Midwest,Apparel,Summer Dress,In-Store,74.28,2,0.3,0.00,103.99,false,40.56,71.29,0.431,Globex,New,Paid Social,2023,Silver,,0,,81.12,22.87,22.87
ORD50425,2025-04-06,C1085,West,Apparel,Denim Jacket,In-Store,48.63,2,0.05,0.00,92.40,false,45.49,79.95,0.431,Meridian,New,Organic,2024,Gold,,0,,90.98,1.42,1.42
ORD50261,2025-05-28,C1153,Midwest,Accessories,Wool Scarf,In-Store,64.30,2,0.15,0.00,109.31,false,29.0,57.99,0.5,Northwind,Returning,Email,2025,Bronze,,0,,58.00,51.31,51.31
ORD50242,2025-08-10,C1053,South,Apparel,Classic Tee,Online,29.10,3,0.15,7.51,74.21,false,40.01,70.32,0.431,Acme,Returning,Organic,2023,Bronze,,0,,120.03,-45.82,-45.82
ORD50140,2025-06-03,C1110,Midwest,Beauty,Face Serum,In-Store,35.80,2,0,0.00,71.60,false,17.07,37.93,0.55,Northwind,Returning,Email,2023,Bronze,,0,,34.14,37.46,37.46
ORD50265,2025-03-12,C1165,South,Accessories,Tote Bag,Online,32.61,2,0,10.07,52.18,false,25.12,50.23,0.5,Globex,New,Paid Social,2023,Silver,,0,,50.24,1.94,1.94
ORD50180,2025-04-18,C1051,East,Accessories,Baseball Cap,In-Store,61.77,2,0.1,0.00,111.19,false,26.45,52.9,0.5,Meridian,New,Email,2024,Silver,,0,,52.90,58.29,58.29
ORD50808,2025-05-27,C1164,South,Apparel,Classic Tee,Mobile App,85.44,2,0.15,9.64,145.25,false,40.01,70.32,0.431,Acme,Returning,Organic,2024,Bronze,,0,,80.02,65.23,65.23
ORD50161,2025-08-21,C1047,East,Footwear,Running Shoes,Mobile App,58.91,1,0,10.70,55.96,true,94.62,113.18,0.164,Meridian,New,Paid Social,2023,Bronze,Wrong size / poor fit,53.71,Y,94.62,-38.66,-92.37
ORD50361,2025-08-12,C1158,West,Accessories,Leather Belt,Online,56.48,3,0.05,10.33,160.97,true,26.41,52.82,0.5,Umbra,Returning,Paid Social,2023,Silver,Damaged in transit,144.62,N,79.23,81.74,-62.88
ORD50600,2025-02-15,C1053,South,Apparel,Chino Pants,In-Store,56.52,2,0.2,0.00,90.43,true,45.05,79.17,0.431,Meridian,Returning,Organic,2023,Bronze,Defective,82.01,N,90.10,0.33,-81.68
ORD50268,2025-10-27,C1089,West,Footwear,Loafers,Mobile App,47.47,2,0.1,7.43,85.45,false,84.63,101.23,0.164,Meridian,Returning,Email,2023,Bronze,,0,,169.26,-83.81,-83.81
ORD50637,2025-04-18,C1009,West,Beauty,Face Serum,In-Store,17.78,3,0,0.00,53.34,false,17.07,37.93,0.55,Northwind,Returning,Email,2023,Gold,,0,,51.21,2.13,2.13
ORD50563,2025-12-08,C1139,Midwest,Home,Cotton Throw,Online,31.95,1,0,5.58,27.16,false,27.21,46.91,0.42,Acme,New,Paid Social,2025,Bronze,,0,,27.21,-0.05,-0.05
ORD50250,2025-06-28,C1102,West,Apparel,Summer Dress,In-Store,70.38,1,0.15,0.00,59.82,false,40.56,71.29,0.431,Globex,New,Email,2023,Silver,,0,,40.56,19.26,19.26
ORD50252,2025-10-22,C1156,West,Accessories,Wool Scarf,Mobile App,67.04,1,0,3.57,67.04,true,29.0,57.99,0.5,Northwind,New,Paid Social,2024,Bronze,Wrong size / poor fit,63.07,N,29.00,38.04,-25.03
ORD50296,2025-05-10,C1055,Midwest,Footwear,Running Shoes,Online,165.01,3,0.1,5.81,445.53,false,94.62,113.18,0.164,Meridian,Returning,Referral,2024,Bronze,,0,,283.86,161.67,161.67
ORD50378,2025-02-20,C1155,South,Beauty,Bath Set,In-Store,21.15,2,0.1,0.00,38.07,false,19.67,43.71,0.55,Umbra,Returning,Email,2025,Silver,,0,,39.34,-1.27,-1.27
ORD50324,2025-04-29,C1016,South,Apparel,Chino Pants,Online,111.77,3,0,5.61,335.31,true,45.05,79.17,0.431,Meridian,Returning,Referral,2025,Silver,Damaged in transit,292.6,Y,135.15,200.16,-92.44
