OrderID,OrderDate,CustomerID,CustomerSegment,Region,ProductCategory,ProductName,Channel,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Returned
ORD50251,2025-11-20,C1148,Returning,South,Footwear,Canvas Sneakers,Online,113.00,1,0,4.77,113.00,false
ORD50443,2025-10-04,C1126,New,East,Accessories,Leather Belt,Mobile App,65.14,1,0,10.47,52.11,false
ORD50194,2025-11-06,C1068,New,East,Beauty,Face Serum,Online,59.12,1,0.4,5.22,35.47,true
ORD50767,2025-10-12,C1032,New,West,Home,Ceramic Mug,In-Store,43.92,1,0.1,0.00,39.53,false
ORD50240,2025-02-26,C1154,New,West,Home,Table Lamp,Online,24.79,1,0.15,4.30,21.07,false
ORD50135,2025-02-24,C1035,New,South,Accessories,Sunglasses,In-Store,55.29,2,0,0.00,110.58,false
ORD50769,2025-04-09,C1004,New,South,Accessories,Sunglasses,Mobile App,35.56,1,0.15,7.31,30.23,true
ORD50280,2025-12-08,C1169,,West,Beauty,Hand Cream,In-Store,68.85,4,0,0.00,275.40,false
ORD50304,2025-06-15,C1069,Returning,East,Beauty,Bath Set,Mobile App,50.69,1,0.2,8.83,40.55,false
ORD50173,2025-03-26,C1066,Returning,South,Accessories,Baseball Cap,In-Store,50.71,1,0,0.00,50.71,false
ORD50623,2025-08-29,C1112,New,Midwest,Beauty,Bath Set,Online,61.06,3,0.05,0.00,174.02,false
ORD50021,2025-12-30,C1080,Returning,West,Footwear,Sandals,Online,136.27,1,0.1,7.96,122.64,false
ORD50046,2025-04-18,C1007,Returning,West,Footwear,Canvas Sneakers,In-Store,103.72,1,0,0.00,103.72,true
ORD50042,2025-11-22,C1163,New,South,Accessories,Tote Bag,In-Store,59.31,2,0,0.00,118.62,false
ORD50774,2025-02-13,C1137,Returning,South,Accessories,Wool Scarf,In-Store,82.38,1,0,0.00,74.14,false
ORD50876,2025-12-16,C1076,,Midwest,Footwear,Canvas Sneakers,Mobile App,89.88,2,0,8.17,179.76,false
ORD50874,2025-08-28,C1064,Returning,South,Apparel,Summer Dress,In-Store,33.69,3,0.3,0.00,70.75,false
ORD50912,2025-08-21,C1092,,West,Beauty,Lip Balm,Online,61.44,1,0.05,11.69,58.37,false
ORD50759,2025-11-02,C1091,Returning,West,Home,Table Lamp,Online,63.72,1,0.05,9.85,60.53,false
ORD50602,2025-01-02,C1099,VIP,Midwest,Apparel,Denim Jacket,Online,109.72,2,0.1,8.37,197.50,false
ORD50763,2025-02-05,C1083,New,West,Beauty,Bath Set,Mobile App,63.57,2,0,3.67,127.14,false
ORD50646,2025-09-29,C1000,Returning,Midwest,Beauty,Bath Set,In-Store,42.91,2,0.1,0.00,77.24,false
ORD50019,2025-01-21,C1012,Returning,West,Beauty,Perfume,Online,25.43,1,0,9.81,25.43,false
ORD50801,2025-07-31,C1111,New,West,Apparel,Wool Sweater,In-Store,72.97,2,0.15,0.00,124.05,false
ORD50342,2025-05-23,C1173,VIP,East,Accessories,Tote Bag,Online,30.50,2,0,5.16,61.00,false
ORD50454,2025-12-28,C1158,Returning,West,Footwear,Loafers,Online,51.30,3,0,6.39,153.90,false
ORD50031,2025-09-21,C1091,Returning,West,Accessories,Baseball Cap,Mobile App,56.48,3,0.4,9.74,101.66,true
ORD50515,2025-01-28,C1007,,West,Accessories,Leather Belt,Online,55.22,2,0.2,7.40,88.35,false
ORD50580,2025-08-22,C1029,Returning,East,Apparel,Chino Pants,In-Store,98.53,2,0.15,0.00,167.50,false
ORD50835,2025-02-26,C1068,,East,Footwear,Canvas Sneakers,Mobile App,80.84,2,0,7.15,161.68,false
ORD50916,2025-04-26,C1007,Returning,West,Accessories,Wool Scarf,In-Store,63.17,1,0,0.00,63.17,false
ORD50502,2025-10-12,C1105,Returning,East,Apparel,Chino Pants,Online,51.98,2,0.05,8.52,98.76,false
ORD50121,2025-05-17,C1078,,West,Accessories,Baseball Cap,Mobile App,55.24,1,0.2,8.55,44.19,true
ORD50211,2025-08-08,C1090,New,West,Beauty,Bath Set,Online,63.96,2,0.1,6.36,115.13,false
ORD50865,2025-11-12,C1033,New,Midwest,Footwear,Leather Boots,Online,156.05,1,0.25,4.17,117.04,false
ORD50671,2025-03-03,C1068,,East,Home,Throw Pillow,Mobile App,65.57,2,0.15,5.06,111.47,true
ORD50783,2025-04-30,C1142,VIP,East,Footwear,Sandals,Online,204.58,2,0.1,4.11,368.24,true
ORD50915,2025-05-17,C1171,Returning,West,Footwear,Leather Boots,Mobile App,121.78,1,0,4.86,121.78,false
ORD50332,2025-06-28,C1137,Returning,South,Home,Table Lamp,Mobile App,60.21,1,0,5.49,60.21,false
ORD50401,2025-07-03,C1141,Returning,East,Accessories,Tote Bag,In-Store,77.79,1,0,0.00,77.79,false
ORD50115,2025-02-07,C1079,Returning,South,Home,Table Lamp,Online,75.02,3,0,8.33,225.06,false
ORD50116,2025-12-07,C1069,Returning,East,Home,Table Lamp,Online,49.70,2,0.05,9.65,94.43,false
ORD50060,2025-10-02,C1121,Returning,West,Home,Wall Art,Mobile App,63.57,2,0,3.61,120.78,false
ORD50029,2025-03-11,C1025,New,West,Apparel,Wool Sweater,In-Store,51.41,1,0.4,0.00,30.85,false
ORD50326,2025-02-06,C1060,Returning,Midwest,Footwear,Leather Boots,In-Store,120.34,3,0.1,0.00,324.92,true
ORD50036,2025-01-18,C1171,Returning,West,Home,Table Lamp,Mobile App,14.01,3,0,10.75,37.83,false
ORD50450,2025-12-28,C1120,Returning,South,Footwear,Running Shoes,In-Store,84.18,2,0,0.00,168.36,true
ORD50587,2025-12-24,C1108,New,East,Apparel,Wool Sweater,Online,40.31,1,0,8.80,34.26,false
ORD50106,2025-08-15,C1046,New,West,Footwear,Leather Boots,In-Store,155.73,2,0.05,0.00,295.89,false
ORD50806,2025-01-10,C1174,New,East,Home,Cotton Throw,Online,45.31,2,0.1,3.63,81.56,false
ORD50302,2025-03-22,C1135,New,East,Footwear,Sandals,Online,111.97,2,0,4.38,223.94,true
ORD50648,2025-11-14,C1054,Returning,Midwest,Footwear,Leather Boots,Mobile App,60.90,3,0.05,11.43,173.56,true
ORD50895,2025-03-26,C1162,New,Midwest,Apparel,Classic Tee,Online,33.28,1,0,0.00,33.28,false
ORD50045,2025-04-27,C1018,Returning,West,Home,Ceramic Mug,Online,46.87,3,0,4.38,140.61,false
ORD50084,2025-02-24,C1129,Returning,West,Accessories,Baseball Cap,In-Store,46.45,3,0.05,0.00,132.38,false
ORD50800,2025-01-20,C1092,Returning,West,Footwear,Loafers,Online,116.71,2,0.15,6.77,198.41,false
ORD50754,2025-08-21,C1173,VIP,East,Apparel,Wool Sweater,In-Store,54.63,4,0.05,0.00,207.59,false
ORD50616,2025-08-11,C1169,VIP,West,Accessories,Baseball Cap,Online,120.16,3,0.1,9.67,324.43,false
ORD50781,2025-11-07,C1044,Returning,West,Footwear,Running Shoes,In-Store,41.75,1,0.1,0.00,37.58,false
ORD50004,2025-12-14,C1086,Returning,West,Home,Table Lamp,Mobile App,12.84,1,0.1,6.07,11.56,false
ORD50914,2025-09-02,C1125,Returning,East,Accessories,Tote Bag,Online,65.49,2,0,6.97,130.98,false
ORD50499,2025-10-24,C1096,New,East,Beauty,Bath Set,In-Store,52.13,2,0.2,0.00,83.41,false
ORD50362,2025-02-02,C1018,,West,Footwear,Leather Boots,Online,46.02,2,0.15,7.56,78.23,true
ORD50900,2025-01-14,C1020,Returning,South,Beauty,Bath Set,Online,14.16,1,0.4,3.74,8.50,false
ORD50369,2025-01-23,C1145,New,South,Accessories,Tote Bag,Online,61.25,1,0.15,4.23,52.06,false
ORD50824,2025-04-16,C1052,Returning,Midwest,Apparel,Denim Jacket,Online,79.76,2,0.1,4.97,143.57,false
ORD50235,2025-02-04,C1153,Returning,Midwest,Footwear,Leather Boots,Online,115.20,2,0.05,6.78,218.88,false
ORD50627,2025-04-10,C1042,Returning,South,Home,Wall Art,In-Store,24.97,1,0.3,0.00,17.48,false
ORD50397,2025-01-18,C1053,Returning,South,Apparel,Chino Pants,Online,81.26,3,0.2,11.03,195.02,false
ORD50688,2025-06-24,C1176,Returning,South,Footwear,Leather Boots,Mobile App,71.29,2,0.05,5.71,135.45,true
ORD50487,2025-06-23,C1082,Returning,East,Apparel,Summer Dress,Online,43.60,2,0,8.01,87.20,false
ORD50146,2025-06-24,C1127,New,South,Home,Table Lamp,In-Store,16.76,1,0.15,0.00,14.25,false
ORD50772,2025-01-13,C1064,,South,Beauty,Lip Balm,Online,14.32,3,0.2,10.94,34.37,false
ORD50220,2025-08-09,C1047,New,East,Apparel,Summer Dress,Online,47.82,1,0,5.14,47.82,false
ORD50640,2025-11-19,C1090,New,West,Home,Ceramic Mug,Mobile App,28.13,2,0.15,3.70,47.82,false
ORD50832,2025-08-06,C1018,Returning,West,Accessories,Sunglasses,In-Store,33.83,2,0.2,0.00,54.13,true
ORD50892,2025-09-25,C1121,Returning,West,Home,Cotton Throw,In-Store,51.69,1,0,0.00,51.69,false
ORD50529,2025-01-13,C1036,New,West,Apparel,Classic Tee,Online,66.29,2,0,8.80,132.58,false
ORD50150,2025-08-23,C1149,New,West,Home,Cotton Throw,Online,43.34,2,0.05,6.96,82.35,false
ORD50309,2025-10-31,C1146,New,Midwest,Home,Throw Pillow,In-Store,42.68,1,0.2,0.00,34.14,false
ORD50620,2025-10-08,C1078,Returning,West,Footwear,Canvas Sneakers,Online,143.96,3,0,10.09,431.88,false
ORD50391,2025-11-02,C1039,Returning,East,Home,Wall Art,In-Store,26.19,2,0.15,0.00,44.52,false
ORD50398,2025-02-26,C1080,Returning,West,Footwear,,Mobile App,105.93,2,0,10.84,211.86,false
ORD50788,2025-02-21,C1159,Returning,Midwest,Accessories,Leather Belt,Online,31.70,3,0.3,8.24,66.57,false
ORD50162,2025-08-19,C1071,New,Midwest,Apparel,Classic Tee,In-Store,85.73,1,0,0.00,85.73,false
ORD50128,2025-07-10,C1162,New,Midwest,Apparel,Denim Jacket,Online,104.56,2,0,4.82,209.12,false
ORD50049,2025-06-28,C1095,,East,Footwear,Leather Boots,In-Store,73.95,3,0,0.00,221.85,false
ORD50105,2025-01-03,C1101,,West,Accessories,Sunglasses,Online,68.29,3,0,7.63,204.87,false
ORD50846,2025-10-21,C1028,New,West,Footwear,Leather Boots,Online,147.17,2,0.2,0.00,235.47,false
ORD50313,2025-01-03,C1082,Returning,East,Footwear,Sandals,Online,84.48,2,0,6.99,160.51,true
ORD50437,2025-04-14,C1079,Returning,South,Apparel,Chino Pants,In-Store,101.41,1,0,0.00,101.41,false
ORD50856,2025-11-29,C1124,New,Midwest,Home,Cotton Throw,Online,25.30,1,0.1,9.10,22.77,false
ORD50471,2025-06-26,C1076,New,Midwest,Apparel,Summer Dress,In-Store,74.28,2,0.3,0.00,103.99,false
ORD50425,2025-04-06,C1085,,West,Apparel,Denim Jacket,In-Store,48.63,2,0.05,0.00,92.40,false
ORD50261,2025-05-28,C1153,Returning,Midwest,Accessories,Wool Scarf,In-Store,64.30,2,0.15,0.00,109.31,false
ORD50242,2025-08-10,C1053,Returning,South,Apparel,Classic Tee,Online,29.10,3,0.15,7.51,74.21,false
ORD50140,2025-06-03,C1110,,Midwest,Beauty,Face Serum,In-Store,35.80,2,0,0.00,71.60,false
ORD50265,2025-03-12,C1165,New,South,Accessories,Tote Bag,Online,32.61,2,0,10.07,52.18,false
ORD50180,2025-04-18,C1051,New,East,Accessories,Baseball Cap,In-Store,61.77,2,0.1,0.00,111.19,false
ORD50808,2025-05-27,C1164,,South,Apparel,Classic Tee,Mobile App,85.44,2,0.15,9.64,145.25,false
ORD50161,2025-08-21,C1047,New,East,Footwear,Running Shoes,Mobile App,58.91,1,0,10.70,55.96,true
ORD50361,2025-08-12,C1158,Returning,West,Accessories,Leather Belt,Online,56.48,3,0.05,10.33,160.97,true
ORD50600,2025-02-15,C1053,Returning,South,Apparel,Chino Pants,In-Store,56.52,2,0.2,0.00,90.43,true
ORD50268,2025-10-27,C1089,Returning,West,Footwear,Loafers,Mobile App,47.47,2,0.1,7.43,85.45,false
ORD50637,2025-04-18,C1009,Returning,West,Beauty,Face Serum,In-Store,17.78,3,0,0.00,53.34,false
ORD50563,2025-12-08,C1139,New,Midwest,Home,Cotton Throw,Online,31.95,1,0,5.58,27.16,false
ORD50250,2025-06-28,C1102,New,West,Apparel,Summer Dress,In-Store,70.38,1,0.15,0.00,59.82,false
ORD50252,2025-10-22,C1156,New,West,Accessories,Wool Scarf,Mobile App,67.04,1,0,3.57,67.04,true
ORD50296,2025-05-10,C1055,,Midwest,Footwear,Running Shoes,Online,165.01,3,0.1,5.81,445.53,false
ORD50378,2025-02-20,C1155,Returning,South,Beauty,Bath Set,In-Store,21.15,2,0.1,0.00,38.07,false
ORD50324,2025-04-29,C1016,Returning,South,Apparel,Chino Pants,Online,111.77,3,0,5.61,335.31,true
ORD50629,2025-02-05,C1007,Returning,West,Home,Ceramic Mug,Online,38.13,1,0.1,0.00,34.32,false
ORD50446,2025-04-01,C1096,,East,Beauty,Face Serum,In-Store,60.05,1,0.1,0.00,54.05,false
ORD50863,2025-11-25,C1043,,Midwest,Home,Ceramic Mug,In-Store,38.68,2,0.2,0.00,61.89,false
ORD50747,2025-08-21,C1164,Returning,South,Beauty,Bath Set,Online,51.98,2,0.05,0.00,98.76,false
ORD50299,2025-10-13,C1170,New,South,Home,Ceramic Mug,Mobile App,68.94,1,0.15,9.44,58.60,false
ORD50468,2025-08-04,C1079,Returning,South,Home,Ceramic Mug,Mobile App,50.06,2,0,9.69,100.12,false
ORD50528,2025-07-17,C1138,Returning,West,Accessories,Wool Scarf,Mobile App,63.28,3,0,0.00,189.84,false
ORD50589,2025-08-12,C1040,Returning,East,Accessories,Wool Scarf,In-Store,41.25,1,0,0.00,41.25,false
ORD50578,2025-04-24,C1099,VIP,Midwest,Beauty,Face Serum,In-Store,18.87,3,0.05,0.00,53.78,false
ORD50918,2025-06-05,C1040,Returning,East,Home,Cotton Throw,Mobile App,41.77,2,0,10.78,83.54,false
ORD50237,2025-05-22,C1052,Returning,Midwest,Beauty,Hand Cream,In-Store,38.71,1,0,0.00,38.71,false
ORD50633,2025-01-09,C1064,Returning,South,Accessories,Tote Bag,In-Store,47.02,2,0,0.00,94.04,false
ORD50586,2025-10-22,C1040,Returning,East,Footwear,Canvas Sneakers,Mobile App,56.84,2,0,8.17,113.68,false
ORD50156,2025-10-11,C1139,New,Midwest,Home,Table Lamp,Online,68.79,1,0,0.00,68.79,false
ORD50899,2025-04-28,C1022,VIP,East,Footwear,Running Shoes,In-Store,140.87,5,0.3,0.00,493.04,false
ORD50868,2025-05-22,C1105,Returning,East,Beauty,Face Serum,Online,63.40,1,0,6.84,63.40,true
ORD50811,2025-03-27,C1149,New,West,Apparel,Summer Dress,Online,55.85,1,0.05,9.01,53.06,true
ORD50099,2025-12-01,C1017,New,Midwest,Apparel,Denim Jacket,Online,31.41,2,0.1,0.00,56.54,false
ORD50075,2025-01-14,C1169,VIP,West,Beauty,Face Serum,In-Store,57.49,5,0.1,0.00,258.70,false
ORD50064,2025-10-12,C1162,New,Midwest,Beauty,Perfume,Online,15.49,2,0.15,6.71,26.33,true
ORD50773,2025-02-28,C1119,Returning,South,Accessories,Sunglasses,Mobile App,41.46,1,0.05,0.00,39.39,false
ORD50395,2025-11-06,C1030,Returning,South,Accessories,Tote Bag,Mobile App,54.06,4,0,4.42,216.24,false
ORD50642,2025-08-17,C1156,New,West,Accessories,Baseball Cap,In-Store,22.59,2,0,0.00,45.18,false
ORD50371,2025-10-20,C1016,Returning,South,Accessories,Tote Bag,Online,31.73,2,0,6.62,63.46,false
ORD50399,2025-06-25,C1116,Returning,Midwest,Footwear,Canvas Sneakers,In-Store,112.69,1,0.05,0.00,107.06,false
ORD50493,2025-01-28,C1031,,South,Accessories,Wool Scarf,Mobile App,98.77,3,0.05,4.57,281.49,true
ORD50525,2025-05-25,C1004,New,South,Home,Wall Art,Online,28.50,2,0.2,0.00,45.60,false
ORD50532,2025-08-01,C1024,Returning,West,Accessories,Wool Scarf,Online,53.41,2,0.3,11.15,74.77,false
ORD50885,2025-03-29,C1048,Returning,South,Accessories,Wool Scarf,In-Store,86.69,1,0.2,0.00,69.35,false
ORD50412,2025-10-06,C1057,Returning,South,Apparel,Wool Sweater,Mobile App,64.62,2,0,11.07,129.24,false
ORD50071,2025-09-29,C1111,New,West,Accessories,Wool Scarf,Online,33.99,1,0.2,9.75,27.19,false
ORD50626,2025-04-19,C1046,,West,Home,Throw Pillow,Online,68.37,1,0.15,5.11,58.11,false
ORD50676,2025-09-16,C1068,New,East,Beauty,,Online,35.57,2,0.15,10.42,60.47,false
ORD50820,2025-04-06,C1074,New,West,Accessories,Baseball Cap,In-Store,67.27,2,0.3,0.00,94.18,false
ORD50262,2025-09-20,C1170,,South,Accessories,,In-Store,22.59,1,0.2,0.00,18.07,false
ORD50175,2025-02-21,C1149,New,West,Apparel,Classic Tee,Online,33.55,1,0.4,4.63,20.13,true
ORD50269,2025-12-10,C1122,New,East,Apparel,Wool Sweater,Mobile App,34.19,2,0,5.33,68.38,false
ORD50459,2025-12-12,C1116,Returning,Midwest,Accessories,Tote Bag,In-Store,41.63,3,0,0.00,124.89,false
ORD50271,2025-08-17,C1170,New,South,Home,Cotton Throw,In-Store,54.17,3,0,0.00,162.51,false
ORD50761,2025-09-18,C1007,Returning,West,Beauty,Hand Cream,Mobile App,23.72,4,0.2,8.66,75.90,false
ORD50418,2025-11-19,C1014,Returning,West,Footwear,Running Shoes,In-Store,133.81,3,0.35,0.00,260.93,false
ORD50866,2025-08-14,C1163,New,South,Home,Ceramic Mug,Mobile App,56.86,2,0.05,4.12,108.03,false
ORD50667,2025-10-28,C1016,Returning,South,Beauty,Hand Cream,In-Store,56.16,3,0.15,0.00,143.21,false
ORD50204,2025-02-15,C1046,New,West,Home,Wall Art,Online,22.24,2,0.1,4.11,40.03,false
ORD50799,2025-05-12,C1085,New,West,Beauty,Lip Balm,In-Store,29.17,1,0.05,0.00,27.71,false
ORD50206,2025-10-20,C1171,Returning,West,Home,Throw Pillow,In-Store,72.19,1,0,0.00,72.19,false
ORD50088,2025-08-01,C1109,VIP,West,Footwear,Leather Boots,Online,151.55,4,0.15,6.90,515.27,true
ORD50510,2025-10-21,C1162,New,Midwest,Beauty,Face Serum,In-Store,41.67,1,0.2,0.00,33.34,false
ORD50107,2025-02-18,C1093,New,South,Footwear,Canvas Sneakers,Online,134.73,2,0,0.00,269.46,false
ORD50123,2025-06-25,C1168,New,South,Footwear,Leather Boots,Mobile App,56.58,2,0,10.93,113.16,true
ORD50085,2025-06-19,C1079,Returning,South,Apparel,Summer Dress,In-Store,88.41,1,0.1,0.00,79.57,true
ORD50479,2025-02-16,C1174,New,East,Apparel,Summer Dress,In-Store,37.72,1,0,0.00,37.72,false
ORD50813,2025-06-09,C1161,VIP,Midwest,Home,Ceramic Mug,Online,24.00,5,0.2,11.63,96.00,false
ORD50167,2025-05-03,C1143,Returning,East,Beauty,Face Serum,Mobile App,60.48,3,0,7.53,172.37,false
ORD50385,2025-04-01,C1079,Returning,South,Accessories,,Online,34.80,3,0.05,6.36,99.18,false
ORD50641,2025-04-29,C1099,VIP,Midwest,Apparel,Denim Jacket,Mobile App,92.73,3,0.05,6.90,264.28,true
ORD50483,2025-09-13,C1015,New,West,Home,Throw Pillow,In-Store,16.84,1,0,0.00,16.84,true
ORD50870,2025-12-20,C1014,Returning,West,Footwear,Loafers,Mobile App,132.12,2,0.2,11.17,211.39,true
ORD50691,2025-01-10,C1126,New,East,Home,Throw Pillow,In-Store,43.61,1,0.1,0.00,39.25,false
ORD50260,2025-12-16,C1120,Returning,South,Beauty,Bath Set,In-Store,18.82,1,0.15,0.00,16.00,true
ORD50716,2025-09-30,C1035,New,South,Beauty,Lip Balm,Mobile App,33.63,2,0.4,0.00,40.36,true
ORD50752,2025-07-20,C1112,,Midwest,Footwear,Running Shoes,In-Store,124.16,1,0.15,0.00,105.54,false
ORD50028,2025-05-26,C1113,Returning,West,Apparel,Chino Pants,Online,57.19,1,0.3,6.11,40.03,false
ORD50740,2025-11-25,C1167,Returning,West,Beauty,Perfume,In-Store,17.24,3,0.3,0.00,36.20,false
ORD50102,2025-09-18,C1083,New,West,Footwear,Canvas Sneakers,In-Store,69.17,1,0,0.00,69.17,true
ORD50051,2025-09-17,C1016,Returning,South,Apparel,Classic Tee,In-Store,27.97,1,0,0.00,27.97,false
ORD50613,2025-04-30,C1118,Returning,South,Beauty,Perfume,In-Store,57.28,2,0.1,0.00,103.10,false
ORD50706,2025-06-19,C1176,Returning,South,Beauty,Bath Set,Mobile App,58.31,1,0.2,4.49,46.65,true
ORD50007,2025-10-23,C1035,New,South,Beauty,Lip Balm,Online,11.99,4,0,0.00,47.96,false
ORD50104,2025-03-09,C1157,Returning,South,Beauty,Perfume,Online,20.58,3,0.1,9.75,55.57,false
ORD50230,2025-05-03,C1107,New,East,Beauty,Face Serum,Online,38.17,1,0.1,11.46,34.35,false
ORD50376,2025-08-03,C1124,,Midwest,Home,Ceramic Mug,Mobile App,41.99,1,0,4.89,41.99,false
ORD50111,2025-08-11,C1144,Returning,Midwest,Beauty,Perfume,Online,15.49,3,0.1,0.00,41.82,false
ORD50091,2025-12-04,C1041,Returning,East,Accessories,Baseball Cap,In-Store,49.23,3,0,0.00,147.69,false
ORD50372,2025-03-10,C1063,Returning,East,Accessories,Wool Scarf,In-Store,36.93,3,0.05,0.00,105.25,false
ORD50160,2025-06-01,C1084,New,Midwest,Apparel,Classic Tee,Online,69.06,1,0.15,10.32,58.70,false
ORD50256,2025-11-15,C1059,New,West,Beauty,Hand Cream,Online,63.60,2,0,7.98,101.76,false
ORD50784,2025-04-20,C1004,New,South,Beauty,Face Serum,Mobile App,46.34,1,0,0.00,41.71,false
ORD50417,2025-07-18,C1106,Returning,West,Apparel,Classic Tee,Online,65.85,3,0.1,4.02,177.79,false
ORD50884,2025-09-25,C1027,New,South,Apparel,Chino Pants,Online,86.01,3,0.05,6.17,245.13,false
ORD50312,2025-04-12,C1077,Returning,West,Beauty,Hand Cream,Mobile App,51.69,1,0.1,9.86,46.52,false
ORD50828,2025-10-06,C1163,New,South,Accessories,,In-Store,77.87,3,0.05,0.00,221.93,false
ORD50827,2025-09-15,C1179,Returning,South,Home,Ceramic Mug,Online,52.65,3,0,0.00,157.95,false
ORD50117,2025-04-28,C1174,New,East,Apparel,Denim Jacket,Online,78.45,2,0.2,8.58,125.52,false
ORD50188,2025-08-22,C1104,Returning,East,Beauty,Face Serum,In-Store,38.97,3,0.2,0.00,93.53,false
ORD50110,2025-07-10,C1031,VIP,South,Apparel,Chino Pants,Online,78.53,6,0.05,5.25,447.62,false
ORD50833,2025-08-08,C1041,Returning,East,Apparel,Wool Sweater,In-Store,40.78,1,0,0.00,40.78,false
ORD50079,2025-02-25,C1118,Returning,South,Home,,Mobile App,65.97,3,0.05,3.52,188.01,false
ORD50527,2025-11-04,C1034,Returning,South,Beauty,Perfume,Online,36.91,3,0,0.00,83.05,false
ORD50281,2025-03-26,C1141,Returning,East,Footwear,Sandals,In-Store,164.13,3,0.15,0.00,418.53,false
ORD50732,2025-02-26,C1056,Returning,East,Accessories,Wool Scarf,In-Store,83.09,2,0.2,0.00,132.94,false
ORD50125,2025-03-01,C1024,Returning,West,Accessories,Leather Belt,Online,54.17,3,0,4.32,162.51,false
ORD50750,2025-05-13,C1053,Returning,South,Beauty,Lip Balm,In-Store,35.46,1,0.2,0.00,28.37,false
ORD50016,2025-04-26,C1017,New,Midwest,Accessories,,In-Store,67.65,2,0,0.00,135.30,false
ORD50883,2025-11-18,C1001,Returning,Midwest,Footwear,Loafers,Online,90.09,1,0.45,9.57,49.55,false
ORD50882,2025-09-10,C1178,VIP,East,Apparel,Denim Jacket,In-Store,192.47,4,0.15,0.00,654.40,false
ORD50278,2025-04-15,C1150,Returning,South,Apparel,Chino Pants,Online,25.37,1,0,7.33,25.37,false
ORD50497,2025-09-28,C1041,Returning,East,Apparel,Summer Dress,In-Store,114.27,1,0.2,0.00,91.42,false
ORD50709,2025-10-27,C1179,Returning,South,Accessories,Wool Scarf,Online,44.46,3,0,8.13,133.38,false
ORD50905,2025-05-20,C1074,New,West,Footwear,,In-Store,81.13,2,0.15,0.00,137.92,false
ORD50873,2025-02-27,C1148,Returning,South,Apparel,Chino Pants,In-Store,51.23,1,0.15,0.00,43.55,false
ORD50877,2025-05-19,C1139,New,Midwest,Apparel,Classic Tee,Online,46.30,2,0,10.77,92.60,false
ORD50516,2025-11-19,C1114,New,Midwest,Home,Wall Art,Online,70.78,1,0.15,0.00,60.16,false
ORD50066,2025-07-30,C1168,New,South,Accessories,Leather Belt,Online,43.29,1,0,6.39,43.29,false
ORD50346,2025-09-07,C1034,Returning,South,Accessories,Sunglasses,Mobile App,66.67,2,0.05,3.87,126.67,false
ORD50653,2025-11-30,C1102,New,West,Home,,In-Store,40.13,2,0.15,0.00,68.22,false
ORD50169,2025-06-25,C1159,Returning,Midwest,Footwear,Leather Boots,In-Store,87.16,3,0.1,0.00,235.33,false
ORD50601,2025-09-19,C1133,New,East,Apparel,Classic Tee,In-Store,43.25,2,0.1,0.00,77.85,false
ORD50469,2025-08-04,C1164,Returning,South,Accessories,Sunglasses,In-Store,77.08,1,0,0.00,73.23,false
